Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840
Memulai Modbus Gateway di 0.0.0.0:5020


[2026-05-19 14:25:44] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:25:44] [iter 1] [Bus 2] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:25:44] [iter 1] [Bus 3] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:25:44] [iter 1] [Bus 4] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-19 14:25:44] [iter 1] [Bus 5] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar


[2026-05-19 14:25:48] [iter 2] [Bus 1] P/Q/CMD -> V_in=1.0190 pu, I_in=810.4667 A, PF=0.9603, V_out=1.0190 pu, I_out=810.4667 A, V_DT=1.0000 pu, P=151.1018 MW, Q=43.8954 MVar
[2026-05-19 14:25:48] [iter 2] [Bus 2] P/Q/CMD -> V_in=1.0090 pu, I_in=398.2000 A, PF=0.9020, V_out=1.0090 pu, I_out=398.2000 A, V_DT=1.0000 pu, P=69.0482 MW, Q=33.0494 MVar
[2026-05-19 14:25:48] [iter 2] [Bus 3] P/Q/CMD -> V_in=1.0040 pu, I_in=394.8667 A, PF=0.9001, V_out=1.0040 pu, I_out=394.8667 A, V_DT=1.0000 pu, P=67.9874 MW, Q=32.9085 MVar
[2026-05-19 14:25:48] [iter 2] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=479.1000 A, PF=0.8689, V_out=1.0130 pu, I_out=479.1000 A, V_DT=1.0000 pu, P=80.3450 MW, Q=45.7703 MVar
[2026-05-19 14:25:48] [iter 2] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=492.5000 A, PF=0.9771, V_out=1.0110 pu, I_out=492.5000 A, V_DT=1.0000 pu, P=92.6936 MW, Q=20.1857 MVar


[2026-05-19 14:25:52] [iter 3] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=809.9667 A, PF=0.9603, V_out=1.0210 pu, I_out=809.9667 A, V_DT=1.0200 pu, P=151.3049 MW, Q=43.9544 MVar
[2026-05-19 14:25:52] [iter 3] [Bus 2] P/Q/CMD -> V_in=1.0050 pu, I_in=399.9667 A, PF=0.9020, V_out=1.0050 pu, I_out=399.9667 A, V_DT=1.0097 pu, P=69.0796 MW, Q=33.0645 MVar
[2026-05-19 14:25:52] [iter 3] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=395.9333 A, PF=0.9001, V_out=1.0080 pu, I_out=395.9333 A, V_DT=1.0071 pu, P=68.4426 MW, Q=33.1289 MVar
[2026-05-19 14:25:52] [iter 3] [Bus 4] P/Q/CMD -> V_in=1.0040 pu, I_in=475.8333 A, PF=0.8689, V_out=1.0040 pu, I_out=475.8333 A, V_DT=1.0100 pu, P=79.0882 MW, Q=45.0543 MVar
[2026-05-19 14:25:52] [iter 3] [Bus 5] P/Q/CMD -> V_in=1.0050 pu, I_in=491.4000 A, PF=0.9771, V_out=1.0050 pu, I_out=491.4000 A, V_DT=1.0082 pu, P=91.9377 MW, Q=20.0210 MVar


[2026-05-19 14:25:56] [iter 4] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=850.6667 A, PF=0.9557, V_out=1.0200 pu, I_out=850.6667 A, V_DT=1.0200 pu, P=157.9918 MW, Q=48.6593 MVar
[2026-05-19 14:25:56] [iter 4] [Bus 2] P/Q/CMD -> V_in=1.0100 pu, I_in=439.3333 A, PF=0.9070, V_out=1.0100 pu, I_out=439.3333 A, V_DT=1.0097 pu, P=76.6789 MW, Q=35.6029 MVar
[2026-05-19 14:25:56] [iter 4] [Bus 3] P/Q/CMD -> V_in=1.0060 pu, I_in=429.9667 A, PF=0.8827, V_out=1.0060 pu, I_out=429.9667 A, V_DT=1.0070 pu, P=72.7443 MW, Q=38.7281 MVar
[2026-05-19 14:25:56] [iter 4] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=495.2333 A, PF=0.8439, V_out=1.0080 pu, I_out=495.2333 A, V_DT=1.0100 pu, P=80.2629 MW, Q=51.0263 MVar
[2026-05-19 14:25:56] [iter 4] [Bus 5] P/Q/CMD -> V_in=1.0090 pu, I_in=469.6000 A, PF=0.9702, V_out=1.0090 pu, I_out=469.6000 A, V_DT=1.0082 pu, P=87.5858 MW, Q=21.8744 MVar


[2026-05-19 14:26:00] [iter 5] [Bus 1] P/Q/CMD -> V_in=1.0180 pu, I_in=849.6333 A, PF=0.9557, V_out=1.0180 pu, I_out=849.6333 A, V_DT=1.0200 pu, P=157.4904 MW, Q=48.5049 MVar
[2026-05-19 14:26:00] [iter 5] [Bus 2] P/Q/CMD -> V_in=1.0070 pu, I_in=440.1333 A, PF=0.9070, V_out=1.0070 pu, I_out=440.1333 A, V_DT=1.0090 pu, P=76.5904 MW, Q=35.5618 MVar
